status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,year
for_sale,699000.0,4.0,3.0,0.11,"49 McLaughlin St, Staten Island, NY, 10305",49 McLaughlin St,Staten Island,New York,10305.0,2200.0,2011-09-08,2011
for_sale,1160000.0,3.0,4.0,0.11,"125 Duncan St, Staten Island, NY, 10304",125 Duncan St,Staten Island,New York,10304.0,2339.0,2018-08-22,2018
for_sale,699000.0,3.0,3.0,0.05,"58 Scott Ave, Staten Island, NY, 10305",58 Scott Ave,Staten Island,New York,10305.0,1400.0,2003-12-30,2003
for_sale,490000.0,2.0,1.0,0.04,"167 Moreland St, Staten Island, NY, 10306",167 Moreland St,Staten Island,New York,10306.0,542.0,2019-07-11,2019
for_sale,399900.0,3.0,1.0,0.11,"59 Green Grove Ave, Keyport, NJ, 07735",59 Green Grove Ave,Keyport,New Jersey,7735.0,1200.0,2004-03-25,2004
for_sale,749999.0,4.0,4.0,0.08,"670 Clarkson Ave, Elizabeth City, NJ, 07202",670 Clarkson Ave,Elizabeth City,New Jersey,7202.0,2880.0,2020-01-10,2020
for_sale,659000.0,3.0,3.0,0.08,"5 Morris Pl, Staten Island, NY, 10308",5 Morris Pl,Staten Island,New York,10308.0,1326.0,2008-01-09,2008
for_sale,699000.0,3.0,1.0,0.08,"1966 Richmond Rd, Staten Island, NY, 10306",1966 Richmond Rd,Staten Island,New York,10306.0,928.0,2003-05-28,2003
for_sale,390000.0,2.0,3.0,0.04,"24 Forest Dr, Piscataway Twp, NJ, 08854",24 Forest Dr,Piscataway Twp,New Jersey,8854.0,1692.0,2007-02-22,2007
for_sale,350000.0,2.0,3.0,0.05,"57 Whitby Cir, Franklin Twp, NJ, 08873",57 Whitby Cir,Franklin Twp,New Jersey,8873.0,1456.0,2008-05-20,2008
for_sale,883000.0,4.0,2.0,0.22,"306 Sleight Ave, Staten Island, NY, 10307",306 Sleight Ave,Staten Island,New York,10307.0,1692.0,2011-11-18,2011
for_sale,789000.0,3.0,3.0,0.09,"100 Laconia Ave, Staten Island, NY, 10305",100 Laconia Ave,Staten Island,New York,10305.0,1344.0,2012-04-12,2012
for_sale,398800.0,2.0,1.0,0.02,"46 Bradley Ct Unit B, Staten Island, NY, 10314",46 Bradley Ct Unit B,Staten Island,New York,10314.0,900.0,2002-10-30,2002
for_sale,1198000.0,3.0,2.0,0.04,"1340 84th St, Brooklyn, NY, 11228",1340 84th St,Brooklyn,New York,11228.0,1635.0,2008-02-08,2008
